No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
648,CTB,Cooper Tire & Rubber Co.,Consumer Goods,Rubber & Plastics,USA,1980.24,7.81,31.32,1.13%,2755772
649,CTCT,"Constant Contact, Inc.",Services,Marketing Services,USA,509.38,42.64,16.63,0.00%,342558
650,CTGX,Computer Task Group Inc.,Technology,Information Technology Services,USA,345.32,22.38,22.38,-2.31%,144467
651,CTIC,"Cell Therapeutics, Inc.",Healthcare,Biotechnology,USA,130.17,,1.22,-3.94%,849703
652,CTL,"CenturyLink, Inc.",Technology,Telecom Services - Domestic,USA,21171.88,24.24,34.18,0.15%,8509541
653,CTRN,Citi Trends,Services,Apparel Stores,USA,211.1,,14.31,2.00%,73398
654,CTRX,Catamaran Corporation,Technology,Application Software,USA,10275.15,84.72,49.98,-0.83%,3600562
655,CTSH,Cognizant Technology Solutions Corporation,Technology,Business Software & Services,USA,18808.52,17.41,62.31,-0.64%,4474714
656,CTXS,"Citrix Systems, Inc.",Technology,Business Software & Services,USA,11197.24,32.96,59.99,-2.09%,3797233
657,CU,First Trust ISE Global Copper Index,Financial,Exchange Traded Fund,USA,1324.96,,20.8,0.68%,9964
658,CUB,Cubic Corporation,Technology,Scientific & Technical Instruments,USA,1315.68,15.05,49.21,0.74%,198341
659,CUBE,CubeSmart,Financial,REIT - Industrial,USA,2133.86,,16.05,2.56%,2423972
660,CUI,"CUI Global, Inc.",Industrial Goods,Industrial Electrical Equipment,USA,58.93,,5.41,1.31%,61709
661,CUTR,"Cutera, Inc.",Healthcare,Medical Appliances & Equipment,USA,122.45,,8.64,0.23%,753666
662,CUZ,Cousins Properties Inc.,Financial,REIT - Diversified,USA,1007.87,14.03,9.68,0.83%,1409293
663,CVA,Covanta Holding Corporation,Industrial Goods,Waste Management,USA,2574,25.38,19.8,-0.90%,1022540
664,CVBF,CVB Financial Corp.,Financial,Regional - Pacific Banks,USA,1196.21,15.67,11.44,1.15%,1060901
665,CVC,Cablevision Systems Corporation,Services,CATV Systems,USA,3882.12,,14.96,1.08%,3098285
666,CVD,Covance Inc.,Healthcare,Medical Laboratories & Research,USA,4107.81,39.47,75.78,1.04%,369692
667,CVG,Convergys Corporation,Services,Business Services,USA,1875.12,52.18,17.74,1.72%,1350042
668,CVGI,Commercial Vehicle Group Inc.,Services,Auto Parts Wholesale,USA,222.01,6.61,7.8,2.63%,180024
669,CVGW,Calavo Growers Inc.,Consumer Goods,Farm Products,USA,392.11,23.42,26.46,0.53%,92733
670,CVI,"CVR Energy, Inc.",Basic Materials,Oil & Gas Refining & Marketing,USA,4273.82,7.55,49.22,-2.63%,1311219
671,CVLT,"CommVault Systems, Inc.",Technology,Application Software,USA,3566.57,70.11,77.12,1.47%,738495
672,CVO,Cenveo Inc.,Services,Business Services,USA,138.53,,2.17,2.36%,500993
673,CVS,CVS Caremark Corporation,Services,Drug Stores,USA,70926.24,17.88,57.57,1.02%,7444957
674,CVU,CPI Aerostructures Inc.,Industrial Goods,Aerospace/Defense Products & Services,USA,84.12,7.61,10.04,-0.59%,51781
675,CVX,Chevron Corporation,Basic Materials,Major Integrated Oil & Gas,USA,229417.64,8.99,118.93,0.83%,10683363
676,CVY,Guggenheim Multi-Asset Income,Financial,Exchange Traded Fund,USA,1042.4,,23.32,0.43%,475718
677,CW,Curtiss-Wright Corp.,Technology,Scientific & Technical Instruments,USA,1707.97,18.6,36.64,0.94%,221842
678,CWH,CommonWealth REIT,Financial,REIT - Office,USA,2154.23,58.67,22.88,4.47%,2169148
679,CWST,Casella Waste Systems Inc.,Industrial Goods,Waste Management,USA,159.27,,4.06,-0.25%,163121
680,CWT,California Water Service Group,Utilities,Water Utilities,USA,812.85,17.33,19.24,-0.16%,964594
681,CWTR,Coldwater Creek Inc.,Consumer Goods,Textile - Apparel Footwear & Accessories,USA,76.35,,2.5,12.11%,2517693
682,CXO,"Concho Resources, Inc.",Basic Materials,Oil & Gas Drilling & Exploration,USA,8827.29,22.42,85.18,0.70%,1591330
683,CXPO,Crimson Exploration Inc.,Basic Materials,Independent Oil & Gas,USA,128.73,,2.9,3.94%,90577
684,CXW,Corrections Corporation of America,Services,Management Services,USA,3306.31,10.94,33.04,-0.09%,2852808
685,CY,Cypress Semiconductor Corporation,Technology,Semiconductor - Broad Line,USA,1527.55,,10.48,-1.18%,2926637
686,CYB,WisdomTree Dreyfus Chinese Yuan,Financial,Exchange Traded Fund,USA,446.6,,25.98,-0.04%,104070
687,CYBX,Cyberonics Inc.,Healthcare,Medical Appliances & Equipment,USA,1415.74,31.13,51.36,0.98%,335065
688,CYCC,"Cyclacel Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,25.2,,2.99,-1.64%,379613
689,CYN,City National Corp.,Financial,Regional - Pacific Banks,USA,3323.26,15.98,61.85,0.41%,786570
690,CYT,Cytec Industries Inc.,Basic Materials,Specialty Chemicals,USA,3325.93,48.93,73.88,-1.18%,524242
691,CYTR,CytRx Corporation,Healthcare,Biotechnology,USA,56.84,,2.01,-2.90%,90944
692,CYTX,"Cytori Therapeutics, Inc.",Healthcare,Biotechnology,USA,155.42,,2.32,4.98%,405268
693,CZR,Caesars Entertainment Corporation,Services,Resorts & Casinos,USA,1561.24,,12.46,-0.08%,834759
694,D,"Dominion Resources, Inc.",Utilities,Electric Utilities,USA,31383.2,96.51,55.01,1.42%,4853275
695,DAKT,Daktronics Inc.,Consumer Goods,Electronic Equipment,USA,430.55,18.76,10.13,1.30%,264744
696,DAL,Delta Air Lines Inc.,Services,Major Airlines,USA,15501.44,17.41,18.28,-0.71%,10275129
697,DAN,Dana Holding Corporation,Consumer Goods,Auto Parts,USA,2668.44,14.42,18.03,-1.69%,2993992
698,DAR,Darling International Inc.,Industrial Goods,Waste Management,USA,2206.19,16.56,18.71,-0.95%,1237579
699,DATA,"DATATRAK International, Inc.",Technology,Application Software,USA,3178.58,,55.27,-0.23%,247371
700,DAVE,Famous Dave's of America Inc.,Services,Restaurants,USA,109.22,31.53,14.82,5.18%,85457
701,DBA,PowerShares DB Agriculture,Financial,Exchange Traded Fund,USA,,,25.3,0.32%,1313295
702,DBB,PowerShares DB Base Metals,Financial,Exchange Traded Fund,USA,,,16.35,0.80%,119268
703,DBC,PowerShares DB Commodity Index Tracking,Financial,Exchange Traded Fund,USA,6250.69,,25.43,-0.63%,3324287
704,DBE,PowerShares DB Energy,Financial,Exchange Traded Fund,USA,,,27.19,-1.31%,64344
705,DBLE,Double Eagle Petroleum Co.,Basic Materials,Independent Oil & Gas,USA,45.57,,4.04,2.02%,32639
706,DBO,PowerShares DB Oil,Financial,Exchange Traded Fund,USA,,,25.43,-1.43%,179017
707,DBP,PowerShares DB Precious Metals,Financial,Exchange Traded Fund,USA,,,42.25,1.34%,279886
708,DBS,PowerShares DB Silver,Financial,Exchange Traded Fund,USA,,,33.73,2.12%,14846
709,DBV,PowerShares DB G10 Currency Harvest,Financial,Exchange Traded Fund,USA,322.18,,25.17,0.36%,761085
710,DCI,"Donaldson Company, Inc.",Industrial Goods,Pollution & Treatment Controls,USA,5180.35,21.45,34.97,0.06%,808115
711,DCO,Ducommun Inc.,Industrial Goods,Aerospace/Defense Products & Services,USA,220.9,12.48,20.84,-0.19%,100282
712,DCOM,Dime Community Bancshares Inc.,Financial,Savings & Loans,USA,512.72,12.46,14.7,0.96%,294746
713,DCT,DCT Industrial Trust Inc.,Financial,REIT - Industrial,USA,1987.12,,7.07,0.86%,9679792
714,DCTH,"Delcath Systems, Inc.",Healthcare,Drug Delivery,USA,37.52,,0.44,-6.62%,2055709
715,DD,E. I. du Pont de Nemours and Company,Basic Materials,Chemicals - Major Diversified,USA,49118.89,20.35,52.91,0.61%,12129791
716,DDD,3D Systems Corp.,Industrial Goods,Diversified Machinery,USA,3994.26,94.57,43.5,-1.02%,6195032
717,DDM,ProShares Ultra Dow30,Financial,Exchange Traded Fund,USA,,,91.1,0.65%,483537
718,DDR,DDR Corp.,Financial,REIT - Retail,USA,5046.15,,16.11,-0.06%,6326480
719,DDS,Dillard's Inc.,Services,Department Stores,USA,3776.47,10.73,80.46,-0.87%,596794
720,DE,Deere & Company,Industrial Goods,Farm & Construction Machinery,USA,32097.32,10.14,82.47,-0.51%,4786407
721,DECK,Deckers Outdoor Corp.,Consumer Goods,Textile - Apparel Footwear & Accessories,USA,1678.23,14.14,48.78,-3.81%,1268711
722,DEI,Douglas Emmett Inc,Financial,REIT - Diversified,USA,3431.38,114.71,24.09,1.47%,1207660
723,DELL,Dell Inc.,Technology,Personal Computers,USA,23335.8,12.59,13.35,-0.15%,22881238
724,DEM,WisdomTree Emerging Markets Equity Inc,Financial,Exchange Traded Fund,USA,4140.17,,48.31,1.92%,1841443
725,DENN,Denny's Corporation,Services,Restaurants,USA,497.77,21.56,5.39,-1.46%,1287415
726,DEPO,DepoMed Inc.,Healthcare,Drug Manufacturers - Other,USA,331.99,,5.88,2.08%,563997
727,DES,WisdomTree SmallCap Dividend,Financial,Exchange Traded Fund,USA,6560.18,,57.5,0.63%,118517
728,DEST,Destination Maternity Corporation,Services,Apparel Stores,USA,334.48,15.37,25.2,0.04%,70672
729,DF,Dean Foods Company,Consumer Goods,Dairy Products,USA,1858.35,20.81,9.99,1.11%,2892257
730,DFRG,"Del Frisco's Restaurant Group, Inc.",Services,Restaurants,USA,482.56,32.71,20.28,1.00%,128773
731,DFS,Discover Financial Services,Financial,Credit Services,USA,23009.44,9.45,46.39,-0.79%,5134479
732,DFT,"DuPont Fabros Technology, Inc.",Financial,Property Management,USA,1496.42,51.09,22.99,3.09%,1532975
733,DG,Dollar General Corporation,Services,"Discount, Variety Stores",USA,16417.41,17.31,50.21,0.66%,4115201
734,DGI,"DigitalGlobe, Inc.",Industrial Goods,Aerospace/Defense Products & Services,USA,1968.64,,30.76,-0.10%,619366
735,DGII,Digi International Inc.,Technology,Networking & Communication Devices,USA,251.45,35.63,9.62,1.16%,179292
736,DGIT,"Digital Generation, Inc.",Services,Business Services,USA,179.29,,6.48,-0.46%,757793
737,DGL,PowerShares DB Gold,Financial,Exchange Traded Fund,USA,,,43.78,1.25%,48725
738,DGS,WisdomTree Emerging Mkts SmallCap Div,Financial,Exchange Traded Fund,USA,1106.67,,45.92,1.82%,362441
739,DGT,SPDR Global Dow ETF,Financial,Exchange Traded Fund,USA,95.94,,58.11,-0.79%,3550
740,DGX,Quest Diagnostics Inc.,Healthcare,Medical Laboratories & Research,USA,9655.04,16.64,61.07,0.43%,1284036
741,DHI,DR Horton Inc.,Industrial Goods,Residential Construction,USA,6787.87,6.99,21.1,-0.99%,16514501
742,DHR,Danaher Corp.,Industrial Goods,Diversified Machinery,USA,42980.12,17.85,62.11,-0.24%,5980906
743,DHX,"Dice Holdings, Inc.",Services,Staffing & Outsourcing Services,USA,513.73,15.4,8.93,-0.67%,536457
744,DIA,SPDR Dow Jones Industrial Average,Financial,Exchange Traded Fund,USA,10413.93,,147.73,0.10%,10968531
745,DIG,ProShares Ultra Oil & Gas,Financial,Exchange Traded Fund,USA,,,54.05,0.45%,203885
746,DIN,"DineEquity, Inc.",Services,Restaurants,USA,1289.92,11.52,68.21,-2.63%,240221
747,DIOD,Diodes Incorporated,Technology,Semiconductor - Integrated Circuits,USA,1154.21,67.78,25.08,2.20%,745376
748,DIS,Walt Disney Co.,Services,Entertainment - Diversified,USA,113164.92,19.07,62.73,1.21%,11890674
749,DISCA,"Discovery Communications, Inc.",Services,CATV Systems,USA,27377.46,29.35,75.42,1.14%,1902757
750,DISH,Dish Network Corp.,Services,CATV Systems,USA,18315.51,37.42,40.41,3.14%,5514031
751,DJP,iPath DJ-UBS Commodity Index TR ETN,Financial,Exchange Traded Fund,USA,,,37.44,-0.37%,399939
752,DK,Delek US Holdings Inc.,Basic Materials,Oil & Gas Refining & Marketing,USA,1737.12,5.72,29.16,-2.64%,1114434
753,DKL,"Delek Logistics Partners, LP",Basic Materials,Independent Oil & Gas,USA,397.65,9.13,33.14,1.22%,22202
754,DKS,Dick's Sporting Goods Inc.,Services,Sporting Goods Stores,USA,6163.32,21.19,50.23,-0.16%,2230856
755,DLB,"Dolby Laboratories, Inc.",Technology,Diversified Electronics,USA,3383.53,16.08,33.29,0.48%,257925
756,DLLR,DFC Global Corp.,Financial,Credit Services,USA,629.89,,14.95,0.20%,529287
757,DLN,WisdomTree LargeCap Dividend,Financial,Exchange Traded Fund,USA,,,59.42,0.54%,230868
758,DLR,Digital Realty Trust Inc.,Financial,REIT - Office,USA,7376.8,40.23,58.34,3.66%,1951818
759,DLTR,"Dollar Tree, Inc.",Services,"Discount, Variety Stores",USA,11077.72,17.71,49.41,0.12%,4229809
760,DLX,Deluxe Corp.,Services,Business Services,USA,1759.53,10.33,34.7,0.52%,668323
761,DM,The Dolan Company,Services,Publishing - Periodicals,USA,50.04,,1.65,2.48%,443354
762,DMD,"Demand Media, Inc.",Technology,Internet Software & Services,USA,719.8,92.33,8.31,0.85%,234145
763,DMLP,Dorchester Minerals LP,Financial,Diversified Investments,USA,729.14,19.81,23.77,0.00%,50985
764,DMND,"Diamond Foods, Inc.",Consumer Goods,Processed & Packaged Goods,USA,439,,20.12,-1.28%,403731
765,DNB,Dun & Bradstreet Corp.,Technology,Information & Delivery Services,USA,3885.01,14.84,95.69,-0.63%,513306
766,DNDN,Dendreon Corp.,Healthcare,Biotechnology,USA,586.99,,3.88,-0.13%,6014429
767,DNKN,"Dunkin' Brands Group, Inc.",Services,Restaurants,USA,4450.64,44.09,41.89,-0.55%,1578461
768,DNO,United States Short Oil,Financial,Exchange Traded Fund,USA,,,37.16,1.06%,19521
769,DNR,Denbury Resources Inc.,Basic Materials,Independent Oil & Gas,USA,6301.9,13.22,17.06,-1.84%,7702794
770,DO,Diamond Offshore Drilling Inc.,Basic Materials,Oil & Gas Drilling & Exploration,USA,9302.63,13.07,66.91,0.62%,1320948
771,DOG,ProShares Short Dow30,Financial,Exchange Traded Fund,USA,,,29.85,-0.23%,1796385
772,DOLE,Dole Food Company Inc.,Consumer Goods,Food - Major Diversified,USA,1131.65,,12.79,1.03%,1581916
773,DOM,Dominion Resources Black Warrior Trust,Financial,Diversified Investments,USA,38.86,9.17,4.95,0.00%,28424
774,DORM,"Dorman Products, Inc.",Consumer Goods,Auto Parts,USA,1646.2,23.61,45.33,1.39%,240969
775,DOV,Dover Corp.,Industrial Goods,Diversified Machinery,USA,13419.67,16.36,77.37,0.40%,1560237
776,DOW,The Dow Chemical Company,Basic Materials,Chemicals - Major Diversified,USA,38539.29,40.28,32.63,-1.69%,13392278
777,DPK,Direxion Daily Dev Mkts Bear 3X Shrs,Financial,Exchange Traded Fund,USA,,,14.75,-1.14%,50887
778,DPM,DCP Midstream Partners LP,Basic Materials,Oil & Gas Pipelines,USA,3251.75,19.9,49.95,-4.15%,707952
779,DPS,"Dr Pepper Snapple Group, Inc.",Consumer Goods,Beverages - Soft Drinks,USA,9317.48,15.18,45.54,0.35%,2274969
780,DPZ,"Domino's Pizza, Inc.",Services,Restaurants,USA,3205.45,26.74,57.5,-0.05%,1159344
781,DRC,Dresser-Rand Group Inc.,Industrial Goods,Diversified Machinery,USA,4378.09,23.38,57.76,-3.02%,1213790
782,DRCO,Dynamics Research Corp.,Technology,Information Technology Services,USA,53.69,,5.11,-1.35%,5941
783,DRE,Duke Realty Corp.,Financial,REIT - Industrial,USA,4667.35,,14.82,0.82%,5016968
784,DRH,Diamondrock Hospitality Co.,Financial,REIT - Hotel/Motel,USA,1747.94,,8.95,1.59%,2598733
785,DRI,"Darden Restaurants, Inc.",Services,Restaurants,USA,6480.52,15.28,50.12,-2.17%,5732162
786,DRIV,Digital River Inc.,Technology,Internet Software & Services,USA,600.66,,18.27,0.66%,636294
787,DRN,Direxion Daily Real Estate Bull 3X Shrs,Financial,Exchange Traded Fund,USA,,,39.25,3.29%,818234
788,DRQ,"Dril-Quip, Inc.",Basic Materials,Oil & Gas Equipment & Services,USA,3627.35,27.88,89.5,-0.71%,635398
789,DRRX,DURECT Corporation,Healthcare,Drug Manufacturers - Other,USA,91.69,,0.9,-7.22%,947798
790,DRV,Direxion Daily Real Estate Bear 3X Shrs,Financial,Exchange Traded Fund,USA,169.26,,17.93,-4.53%,566771
791,DSCI,Derma Sciences Inc.,Healthcare,Medical Instruments & Supplies,USA,220.2,,13.27,1.76%,49022
792,DSCO,Discovery Laboratories Inc.,Healthcare,Biotechnology,USA,70.72,,1.62,0.62%,388993
793,DSS,"Document Security Systems, Inc.",Services,Business Services,USA,57.3,,2.64,-2.94%,484021
794,DST,DST Systems Inc.,Technology,Business Software & Services,USA,2873.3,8.21,64.86,-0.02%,259035
795,DSW,DSW Inc.,Services,Apparel Stores,USA,3276.55,23.46,72.72,0.50%,284641
796,DTE,DTE Energy Co.,Utilities,Electric Utilities,USA,11187.91,15,64.67,1.05%,1656310
797,DTG,Dollar Thrifty Automotive Group Inc.,Services,Rental & Leasing Services,USA,2454.97,14.51,87.49,0.00%,0
798,DTLK,Datalink Corp.,Technology,Data Storage Devices,USA,191.62,20.24,10.93,-0.36%,100747
799,DTN,WisdomTree Dividend ex-Financials,Financial,Exchange Traded Fund,USA,,,61.82,0.60%,97069
800,DTSI,DTS Inc.,Technology,Application Software,USA,382.03,,20.97,0.53%,241215
801,DTV,"DIRECTV, Inc.",Services,CATV Systems,USA,35309.56,13.08,61.73,2.76%,9450632
802,DUG,ProShares UltraShort Oil & Gas,Financial,Exchange Traded Fund,USA,,,66.57,-0.52%,252079
803,DUK,Duke Energy Corporation,Utilities,Electric Utilities,USA,46233.9,19.81,65.58,0.74%,6335021
804,DUSA,DUSA Pharmaceuticals Inc.,Healthcare,Drug Manufacturers - Other,USA,200.24,57.14,8,0.00%,0
805,DV,"DeVry, Inc.",Services,Education & Training Services,USA,1871.3,12.83,29.25,0.62%,608654
806,DVA,"DaVita, Inc.",Healthcare,Specialized Health Services,USA,12903.9,29.69,123.5,0.50%,1086880
807,DVAX,Dynavax Technologies Corporation,Healthcare,Drug Manufacturers - Other,USA,197.47,,1.08,0.00%,5105640
808,DVN,Devon Energy Corporation,Basic Materials,Independent Oil & Gas,USA,21478.86,,53.43,1.37%,5515376
809,DVR,Cal Dive International Inc,Basic Materials,Oil & Gas Equipment & Services,USA,188.4,,2.01,0.50%,932021
810,DVY,iShares Dow Jones Select Dividend Index,Financial,Exchange Traded Fund,USA,12158.87,,63.41,0.86%,1772226
811,DWA,DreamWorks Animation SKG Inc.,Services,"Movie Production, Theaters",USA,2055.81,,24.28,-0.70%,934905
812,DWRE,"Demandware, Inc.",Technology,Application Software,USA,1141.7,,38.11,4.81%,516131
813,DWSN,Dawson Geophysical Co.,Basic Materials,Oil & Gas Equipment & Services,USA,302.41,26.9,38.47,0.03%,47308
814,DWX,SPDR S&P International Dividend,Financial,Exchange Traded Fund,USA,,,42.99,-3.26%,546601
815,DX,Dynex Capital Inc.,Financial,REIT - Residential,USA,554.4,7.51,10.21,1.49%,791471
816,DXCM,"DexCom, Inc.",Healthcare,Medical Instruments & Supplies,USA,1461.61,,20.94,3.77%,842209
817,DXD,ProShares UltraShort Dow30,Financial,Exchange Traded Fund,USA,,,35.84,-0.67%,1913958
818,DXM,"Dex Media, Inc.",Services,Marketing Services,USA,303.53,1.29,17.75,-4.16%,124930
819,DXPE,"DXP Enterprises, Inc.",Services,Industrial Equipment Wholesale,USA,946.33,19.06,65.74,0.97%,223216
820,DY,Dycom Industries Inc.,Industrial Goods,Heavy Construction,USA,748.55,22.89,22.66,-0.22%,316937
821,DYAX,Dyax Corp.,Healthcare,Biotechnology,USA,340.78,,3.42,6.21%,1049503
822,DYN,Dynegy Inc.,Utilities,Electric Utilities,USA,2237,0.03,22.37,1.64%,1238832
823,DZK,Direxion Daily Dev Mkts Bull 3X Shrs,Financial,Exchange Traded Fund,USA,,,45.8,1.15%,23728
824,EA,Electronic Arts Inc.,Technology,Multimedia & Graphics Software,USA,6614.48,70.89,21.98,-0.79%,5669194
825,EAT,Brinker International Inc.,Services,Restaurants,USA,2728.26,17.61,38.39,-3.76%,2399413
826,EBAY,eBay Inc.,Services,Catalog & Mail Order Houses,USA,66213.35,24.7,51.13,0.77%,13659951
827,EBF,Ennis Inc.,Consumer Goods,Office Supplies,USA,446.45,17.94,17.04,3.21%,97974
828,EBIX,Ebix Inc.,Technology,Business Software & Services,USA,353.84,5.12,9.52,-13.45%,15883070
829,EBS,"Emergent BioSolutions, Inc.",Healthcare,Biotechnology,USA,523.69,23.87,14.56,1.68%,205709
830,ECH,iShares MSCI Chile Investable Mkt Idx,Financial,Exchange Traded Fund,USA,,,51.13,1.95%,442647
831,ECHO,"Echo Global Logistics, Inc.",Services,Trucking,USA,424.71,35.83,18.63,2.25%,211533
832,ECL,Ecolab Inc.,Consumer Goods,Cleaning Products,USA,24745.66,30.8,83.77,-0.26%,2315653
833,ECOL,"US Ecology, Inc.",Industrial Goods,Waste Management,USA,495.74,18.66,27.06,-1.71%,137688
834,ECPG,"Encore Capital Group, Inc.",Financial,Asset Management,USA,804.67,10.96,34.32,0.20%,478261
835,ECT,ECA Marcellus Trust I,Basic Materials,Oil & Gas Drilling & Exploration,USA,170.77,5,9.7,-1.12%,135033
836,ECYT,"Endocyte, Inc.",Healthcare,Drug Manufacturers - Major,USA,461.7,,12.85,0.78%,343384
837,ED,Consolidated Edison Inc.,Utilities,Electric Utilities,USA,16516.63,15.75,56.39,1.09%,3249774
838,EDC,Direxion Daily Emrg Mkts Bull 3X Shares,Financial,Exchange Traded Fund,USA,,,20.87,4.30%,1609036
839,EDE,Empire District Electric Co.,Utilities,Electric Utilities,USA,924.92,15.75,21.73,1.97%,327888
840,EDMC,Education Management Corporation,Services,Education & Training Services,USA,775.02,,6.22,-10.25%,511117
841,EDZ,Direxion Daily Emrg Mkts Bear 3X Shares,Financial,Exchange Traded Fund,USA,,,68.84,-4.18%,985653
842,EE,El Paso Electric Co.,Utilities,Electric Utilities,USA,1431.99,15.08,35.73,4.23%,318854
843,EEB,Guggenheim BRIC,Financial,Exchange Traded Fund,USA,,,30.1,0.43%,85990
844,EEFT,Euronet Worldwide Inc.,Services,Business Services,USA,1499.01,81.84,30.28,-0.36%,282913
845,EEP,Enbridge Energy Partners LP,Basic Materials,Oil & Gas Pipelines,USA,9004.03,44.41,29.31,-0.41%,1530050
846,EEQ,Enbridge Energy Management LLC,Basic Materials,Independent Oil & Gas,USA,1332.46,93.58,29.01,-0.14%,178488
847,EET,ProShares Ultra MSCI Emerging Markets,Financial,Exchange Traded Fund,USA,,,59.99,2.86%,14114
848,EEV,ProShares UltraShort MSCI Emerging Mkts,Financial,Exchange Traded Fund,USA,,,28.37,-3.14%,1093640
849,EFA,iShares MSCI EAFE Index,Financial,Exchange Traded Fund,USA,36502.2,,57.94,0.33%,30454880
850,EFC,Ellington Financial LLC,Financial,Mortgage Investment,USA,459.14,4.12,22.52,-1.83%,137387
851,EFG,iShares MSCI EAFE Growth Index,Financial,Exchange Traded Fund,USA,1465.8,,62.11,0.49%,44812
852,EFU,ProShares UltraShort MSCI EAFE,Financial,Exchange Traded Fund,USA,,,61.16,-0.59%,11626
853,EFV,iShares MSCI EAFE Value Index,Financial,Exchange Traded Fund,USA,1438.1,,49.25,0.29%,441922
854,EFX,Equifax Inc.,Financial,Credit Services,USA,7043.23,25.41,58.45,-1.60%,859124
855,EFZ,ProShares Short MSCI EAFE,Financial,Exchange Traded Fund,USA,,,40.15,-0.27%,164847
856,EGAN,eGain Communications Corp.,Technology,Business Software & Services,USA,191.19,,7.75,-2.15%,79891
857,EGBN,"Eagle Bancorp, Inc.",Financial,Regional - Mid-Atlantic Banks,USA,506.9,12.7,21.85,-0.50%,95171
858,EGHT,8x8 Inc.,Technology,Communication Equipment,USA,588.22,43,8.17,-0.73%,4499171
859,EGLE,"Eagle Bulk Shipping, Inc.",Services,Shipping,USA,55.14,,3.25,-5.25%,580101
860,EGN,Energen Corp.,Basic Materials,Independent Oil & Gas,USA,3786.06,14.99,52.48,-0.59%,725448
861,EGOV,NIC Inc.,Technology,Application Software,USA,1034.71,34.02,15.99,-1.24%,860471
862,EGP,EastGroup Properties Inc.,Financial,REIT - Industrial,USA,1619.52,57.19,54.33,0.69%,243865
863,EGY,Vaalco Energy Inc.,Basic Materials,Independent Oil & Gas,USA,321.96,,5.56,-3.14%,1307519
864,EHTH,"eHealth, Inc.",Financial,Insurance Brokers,USA,465.52,64.66,22.63,-1.44%,267384
865,EIG,"Employers Holdings, Inc.",Financial,Property & Casualty Insurance,USA,759.27,7.1,24.56,1.19%,312558
866,EIX,Edison International,Utilities,Electric Utilities,USA,15015.56,9.62,46.06,2.36%,3422445
867,EL,Estee Lauder Companies Inc.,Consumer Goods,Personal Products,USA,25473.89,26.64,65.79,0.43%,2044876
868,ELD,WisdomTree Emerging Markets Local Debt,Financial,Exchange Traded Fund,USA,,,46.84,-0.30%,1113116
869,ELGX,Endologix Inc.,Healthcare,Medical Instruments & Supplies,USA,838.31,,13.48,1.66%,650432
870,ELLI,"Ellie Mae, Inc. Common Stock",Technology,Application Software,USA,584.55,30.19,22.34,-2.62%,832836
871,ELNK,EarthLink Inc.,Technology,Telecom Services - Domestic,USA,633.94,,6.16,2.84%,1136853
872,ELON,Echelon Corporation,Technology,Networking & Communication Devices,USA,97.88,,2.28,1.79%,313152
873,ELRC,Electro Rent Corp.,Services,Rental & Leasing Services,USA,410.81,18.41,17.12,3.88%,77136
874,ELS,"Equity LifeStyle Properties, Inc.",Financial,REIT - Residential,USA,3110.57,43.31,74.93,0.36%,279482
875,ELX,Emulex Corporation,Technology,Data Storage Devices,USA,569.81,,6.29,-0.47%,1430989
876,ELY,Callaway Golf Co.,Consumer Goods,Sporting Goods,USA,467.57,,6.58,-0.15%,825889
877,EMAN,eMagin Corp.,Technology,Semiconductor Equipment & Materials,USA,95.29,69.4,3.47,-1.70%,67907
878,EMB,iShares JPMorgan USD Emerg Markets Bond,Financial,Exchange Traded Fund,USA,,,105.51,-1.62%,3742171
879,EMC,EMC Corporation,Technology,Data Storage Devices,USA,51150.61,19.78,24.33,-1.66%,22687072
880,EME,EMCOR Group Inc.,Industrial Goods,General Contractors,USA,2680.37,18.07,39.94,0.58%,503544
881,EMIS,"Emisphere Technologies, Inc.",Healthcare,Drug Delivery,USA,5.16,,0.17,-5.56%,5200
882,EMKR,EMCORE Corporation,Technology,Semiconductor - Integrated Circuits,USA,99.45,,3.78,-0.53%,124940
883,EMLC,Market Vectors EM Local Curr Bond ETF,Financial,Exchange Traded Fund,USA,,,24.15,-0.41%,724263
884,EMN,Eastman Chemical Co.,Basic Materials,Chemicals - Major Diversified,USA,10929.98,20.34,70.79,0.47%,1591318
885,EMR,Emerson Electric Co.,Technology,Diversified Electronics,USA,39454.58,19.35,54.76,0.70%,4883590
886,END,Endeavour International Corporation,Basic Materials,Independent Oil & Gas,USA,158.59,,3.37,-0.59%,578881
887,ENDP,Endo Pharmaceuticals Holdings Inc.,Healthcare,Drug Manufacturers - Other,USA,4205.08,,37.81,0.77%,3446825
888,ENG,ENGlobal Corp.,Services,Technical Services,USA,25.42,,0.94,17.50%,86651
889,ENPH,"Enphase Energy, Inc.",Technology,Semiconductor Equipment & Materials,USA,295.86,,7.19,10.11%,833081
890,ENR,Energizer Holdings Inc.,Consumer Goods,Personal Products,USA,6102.57,15.55,98.27,-0.74%,598792
891,ENS,EnerSys,Industrial Goods,Industrial Electrical Equipment,USA,2334.83,14.22,48.62,-0.27%,555120
892,ENSG,"The Ensign Group, Inc.",Healthcare,Long-Term Care Facilities,USA,774.29,45.6,35.57,-0.08%,117287
893,ENTG,"Entegris, Inc.",Technology,Semiconductor Equipment & Materials,USA,1340.2,19.67,9.64,0.10%,1060975
